iter	Passed	Remaining
0	130	129973
1	132	66352
2	135	44972
3	137	34148
4	138	27539
5	139	23156
6	141	20004
7	141	17596
8	142	15729
9	143	14254
10	145	13048
11	146	12021
12	146	11150
13	147	10406
14	148	9760
15	149	9223
16	151	8734
17	152	8294
18	153	7905
19	154	7555
20	155	7229
21	156	6942
22	157	6673
23	157	6424
24	158	6195
25	159	5984
26	160	5786
27	161	5607
28	162	5443
29	163	5283
30	164	5135
31	165	4993
32	165	4861
33	166	4738
34	167	4622
35	169	4526
36	170	4427
37	171	4329
38	171	4235
39	172	4147
40	173	4065
41	174	3987
42	175	3912
43	176	3838
44	177	3767
45	178	3699
46	179	3633
47	180	3573
48	181	3519
49	182	3464
50	183	3410
51	184	3358
52	185	3307
53	186	3262
54	187	3215
55	188	3169
56	188	3124
57	189	3080
58	190	3039
59	191	2999
60	192	2963
61	193	2929
62	194	2893
63	195	2858
64	196	2822
65	197	2789
66	198	2759
67	199	2731
68	200	2700
69	201	2670
70	201	2641
71	202	2615
72	203	2588
73	204	2563
74	205	2536
75	206	2511
76	207	2486
77	208	2460
78	209	2436
79	210	2415
80	211	2394
81	211	2372
82	212	2346
83	213	2325
84	214	2304
85	215	2285
86	215	2266
87	217	2249
88	217	2230
89	218	2213
90	219	2194
91	220	2177
92	221	2159
93	222	2142
94	223	2126
95	224	2109
96	224	2093
97	225	2078
98	226	2062
99	227	2047
100	228	2033
101	229	2020
102	230	2006
103	231	1992
104	232	1978
105	233	1965
106	234	1954
107	235	1942
108	236	1930
109	237	1918
110	237	1905
111	238	1892
112	239	1880
113	240	1868
114	241	1857
115	242	1847
116	243	1836
117	244	1825
118	245	1814
119	245	1803
120	246	1793
121	247	1782
122	248	1775
123	249	1765
124	250	1754
125	251	1744
126	252	1734
127	253	1724
128	254	1716
129	255	1708
130	256	1699
131	257	1690
132	257	1681
133	258	1672
134	259	1664
135	260	1656
136	261	1647
137	262	1639
138	263	1630
139	264	1622
140	264	1613
141	265	1603
142	266	1596
143	267	1590
144	268	1583
145	269	1575
146	270	1567
147	270	1559
148	271	1552
149	272	1545
150	273	1539
151	274	1532
152	275	1525
153	276	1518
154	277	1511
155	278	1505
156	279	1498
157	280	1492
158	280	1486
159	281	1479
160	282	1471
161	283	1465
162	284	1458
163	284	1452
164	286	1447
165	286	1441
166	287	1435
167	288	1429
168	289	1423
169	290	1418
170	291	1413
171	292	1408
172	293	1402
173	294	1396
174	295	1390
175	295	1385
176	296	1380
177	297	1375
178	298	1370
179	299	1364
180	300	1359
181	301	1353
182	302	1348
183	302	1343
184	303	1337
185	304	1333
186	305	1329
187	306	1323
188	307	1318
189	308	1314
190	309	1309
191	310	1305
192	311	1301
193	312	1296
194	312	1291
195	313	1286
196	314	1282
197	315	1277
198	316	1272
199	317	1269
200	318	1265
201	319	1260
202	319	1256
203	320	1251
204	322	1249
205	323	1246
206	324	1241
207	325	1237
208	325	1233
209	326	1229
210	327	1225
211	328	1221
212	329	1217
213	330	1214
214	331	1210
215	332	1206
216	333	1202
217	334	1198
218	334	1193
219	335	1191
220	336	1187
221	337	1183
222	338	1179
223	339	1175
224	340	1171
225	340	1167
226	341	1164
227	342	1160
228	343	1157
229	344	1153
230	345	1149
231	346	1145
232	346	1141
233	347	1138
234	348	1135
235	350	1134
236	351	1131
237	352	1127
238	353	1124
239	353	1120
240	354	1117
241	355	1114
242	356	1110
243	357	1107
244	358	1104
245	359	1101
246	360	1097
247	361	1095
248	362	1092
249	363	1089
250	363	1086
251	364	1082
252	365	1079
253	366	1076
254	367	1073
255	368	1070
256	369	1067
257	369	1064
258	370	1060
259	371	1057
260	372	1054
261	373	1051
262	374	1049
263	375	1046
264	376	1043
265	376	1039
266	377	1036
267	378	1033
268	379	1031
269	380	1028
270	381	1025
271	382	1022
272	382	1019
273	383	1017
274	384	1014
275	385	1011
276	386	1009
277	387	1006
278	388	1003
279	389	1000
280	390	998
281	390	995
282	391	992
283	392	990
284	393	987
285	394	985
286	395	982
287	396	979
288	397	977
289	398	974
290	399	972
291	399	969
292	400	967
293	401	964
294	402	961
295	403	959
296	404	956
297	405	954
298	406	952
299	407	949
300	407	947
301	408	944
302	409	942
303	410	940
304	411	938
305	412	935
306	413	933
307	414	930
308	415	928
309	415	925
310	416	923
311	417	920
312	418	918
313	419	916
314	420	914
315	421	911
316	422	909
317	423	907
318	424	905
319	425	903
320	426	901
321	427	899
322	427	897
323	429	895
324	430	893
325	431	891
326	432	889
327	432	886
328	433	884
329	434	882
330	435	880
331	436	879
332	437	877
333	438	875
334	439	872
335	440	871
336	441	869
337	442	867
338	443	865
339	444	863
340	445	861
341	446	858
342	447	856
343	448	855
344	449	853
345	450	851
346	451	849
347	452	847
348	453	845
349	454	843
350	455	842
351	456	840
352	457	838
353	458	836
354	459	834
355	460	832
356	461	831
357	462	829
358	463	827
359	464	825
360	465	823
361	466	821
362	467	820
363	468	818
364	469	816
365	470	814
366	471	812
367	472	811
368	473	809
369	474	807
370	475	806
371	476	804
372	477	802
373	478	800
374	479	798
375	480	796
376	481	795
377	482	793
378	482	791
379	483	789
380	484	787
381	485	785
382	486	783
383	487	782
384	488	780
385	489	778
386	490	776
387	491	774
388	491	772
389	492	771
390	493	769
391	494	767
392	495	765
393	496	763
394	497	761
395	498	759
396	499	758
397	500	756
398	501	754
399	502	753
400	503	751
401	504	749
402	505	748
403	506	747
404	507	745
405	508	743
406	509	741
407	510	740
408	511	738
409	512	737
410	513	735
411	514	734
412	515	732
413	516	731
414	517	729
415	518	728
416	519	726
417	520	724
418	521	723
419	522	721
420	523	720
421	524	719
422	525	717
423	526	715
424	527	714
425	528	712
426	529	710
427	530	709
428	531	707
429	532	705
430	533	704
431	534	702
432	535	701
433	536	699
434	537	698
435	538	696
436	539	694
437	540	692
438	540	691
439	541	689
440	542	688
441	543	686
442	544	684
443	545	683
444	546	681
445	547	680
446	548	678
447	549	677
448	550	675
449	551	673
450	552	672
451	552	670
452	553	668
453	554	666
454	555	665
455	556	664
456	557	662
457	558	660
458	559	659
459	560	657
460	561	656
461	562	655
462	563	653
463	564	652
464	565	650
465	566	649
466	567	647
467	568	646
468	569	644
469	569	642
470	570	641
471	571	639
472	572	637
473	573	636
474	574	634
475	575	633
476	576	631
477	577	630
478	578	628
479	578	627
480	579	625
481	580	624
482	581	622
483	582	621
484	583	619
485	584	617
486	584	616
487	585	614
488	587	613
489	587	611
490	588	610
491	589	608
492	590	607
493	591	605
494	592	604
495	593	603
496	594	601
497	595	600
498	596	598
499	597	597
500	598	595
501	599	594
502	600	592
503	600	591
504	601	589
505	602	588
506	603	586
507	604	585
508	605	584
509	606	582
510	607	581
511	608	579
512	609	578
513	609	576
514	610	575
515	612	574
516	612	572
517	613	571
518	614	569
519	615	568
520	616	566
521	617	565
522	618	563
523	619	562
524	619	560
525	620	559
526	621	557
527	622	556
528	623	555
529	624	554
530	625	552
531	626	551
532	627	549
533	628	548
534	629	546
535	629	545
536	630	543
537	631	542
538	632	540
539	633	539
540	634	537
541	634	536
542	635	535
543	636	533
544	637	532
545	638	531
546	639	529
547	640	528
548	641	526
549	642	525
550	643	524
551	644	522
552	644	521
553	645	519
554	646	518
555	647	517
556	648	515
557	649	514
558	650	512
559	650	511
560	651	510
561	652	508
562	653	507
563	654	506
564	655	504
565	656	503
566	657	502
567	658	500
568	659	499
569	660	498
570	661	496
571	662	495
572	663	494
573	664	492
574	664	491
575	665	490
576	666	488
577	667	487
578	668	486
579	669	485
580	670	483
581	671	482
582	672	480
583	673	479
584	674	478
585	674	476
586	676	475
587	676	474
588	677	472
589	678	471
590	679	470
591	680	468
592	681	467
593	682	466
594	683	464
595	684	463
596	685	462
597	686	461
598	687	459
599	687	458
600	688	457
601	689	455
602	690	454
603	691	453
604	692	451
605	693	450
606	693	449
607	694	448
608	695	446
609	696	445
610	697	444
611	698	442
612	699	441
613	700	440
614	701	439
615	702	437
616	703	436
617	704	435
618	704	433
619	705	432
620	706	431
621	707	430
622	708	428
623	709	427
624	710	426
625	710	424
626	711	423
627	713	422
628	713	421
629	714	419
630	715	418
631	716	417
632	717	415
633	718	414
634	719	413
635	720	412
636	720	410
637	721	409
638	722	408
639	723	406
640	724	405
641	725	404
642	726	403
643	726	401
644	727	400
645	728	399
646	729	398
647	730	396
648	731	395
649	732	394
650	733	393
651	734	391
652	734	390
653	735	389
654	736	388
655	737	386
656	738	385
657	739	384
658	740	383
659	741	381
660	742	380
661	743	379
662	744	378
663	745	377
664	745	375
665	746	374
666	747	373
667	748	371
668	749	370
669	750	369
670	751	368
671	751	366
672	752	365
673	753	364
674	754	363
675	755	362
676	756	360
677	757	359
678	758	358
679	758	357
680	759	355
681	760	354
682	761	353
683	762	352
684	763	351
685	764	349
686	765	348
687	766	347
688	766	346
689	767	344
690	768	343
691	769	342
692	770	341
693	771	340
694	772	338
695	773	337
696	774	336
697	775	335
698	776	334
699	776	332
700	777	331
701	778	330
702	779	329
703	780	328
704	781	326
705	782	325
706	782	324
707	783	323
708	784	322
709	785	320
710	786	319
711	787	318
712	788	317
713	789	316
714	790	315
715	791	314
716	792	312
717	793	311
718	794	310
719	795	309
720	796	308
721	797	306
722	798	305
723	798	304
724	799	303
725	800	302
726	801	301
727	802	299
728	803	298
729	804	297
730	804	296
731	805	295
732	806	293
733	807	292
734	808	291
735	809	290
736	810	289
737	810	287
738	811	286
739	812	285
740	813	284
741	814	283
742	815	282
743	816	280
744	817	279
745	818	278
746	819	277
747	820	276
748	820	275
749	821	273
750	822	272
751	823	271
752	824	270
753	825	269
754	826	268
755	827	266
756	827	265
757	828	264
758	829	263
759	830	262
760	831	261
761	832	259
762	833	258
763	834	257
764	834	256
765	835	255
766	836	254
767	837	253
768	838	251
769	839	250
770	840	249
771	841	248
772	842	247
773	842	246
774	843	245
775	844	243
776	845	242
777	846	241
778	847	240
779	848	239
780	849	238
781	850	237
782	851	235
783	852	234
784	852	233
785	853	232
786	854	231
787	855	230
788	856	229
789	857	227
790	858	226
791	858	225
792	859	224
793	860	223
794	861	222
795	862	220
796	863	219
797	864	218
798	865	217
799	866	216
800	867	215
801	868	214
802	869	213
803	870	212
804	871	211
805	872	209
806	872	208
807	873	207
808	874	206
809	875	205
810	876	204
811	877	203
812	878	202
813	879	200
814	880	199
815	881	198
816	882	197
817	883	196
818	884	195
819	885	194
820	886	193
821	887	192
822	888	191
823	889	189
824	890	188
825	890	187
826	891	186
827	893	185
828	894	184
829	895	183
830	896	182
831	897	181
832	898	180
833	899	178
834	900	177
835	901	176
836	901	175
837	902	174
838	903	173
839	904	172
840	905	171
841	906	170
842	907	168
843	907	167
844	908	166
845	909	165
846	910	164
847	911	163
848	912	162
849	913	161
850	914	160
851	915	159
852	916	157
853	917	156
854	918	155
855	919	154
856	920	153
857	921	152
858	922	151
859	923	150
860	924	149
861	925	148
862	926	147
863	927	145
864	928	144
865	929	143
866	929	142
867	930	141
868	931	140
869	932	139
870	933	138
871	934	137
872	935	136
873	936	135
874	937	133
875	938	132
876	939	131
877	940	130
878	941	129
879	942	128
880	943	127
881	944	126
882	945	125
883	946	124
884	947	123
885	948	121
886	948	120
887	949	119
888	951	118
889	952	117
890	952	116
891	953	115
892	954	114
893	955	113
894	956	112
895	957	111
896	958	110
897	959	109
898	960	107
899	961	106
900	962	105
901	963	104
902	964	103
903	965	102
904	966	101
905	967	100
906	968	99
907	969	98
908	971	97
909	973	96
910	975	95
911	976	94
912	977	93
913	978	92
914	979	91
915	981	89
916	982	88
917	983	87
918	984	86
919	985	85
920	986	84
921	987	83
922	988	82
923	988	81
924	989	80
925	990	79
926	991	78
927	992	77
928	993	75
929	994	74
930	995	73
931	996	72
932	997	71
933	998	70
934	999	69
935	1000	68
936	1001	67
937	1002	66
938	1002	65
939	1003	64
940	1004	62
941	1005	61
942	1006	60
943	1007	59
944	1008	58
945	1009	57
946	1010	56
947	1011	55
948	1012	54
949	1013	53
950	1014	52
951	1015	51
952	1016	50
953	1016	49
954	1018	47
955	1019	46
956	1019	45
957	1020	44
958	1021	43
959	1022	42
960	1023	41
961	1024	40
962	1025	39
963	1026	38
964	1027	37
965	1028	36
966	1028	35
967	1029	34
968	1030	32
969	1031	31
970	1032	30
971	1033	29
972	1034	28
973	1035	27
974	1035	26
975	1036	25
976	1037	24
977	1038	23
978	1039	22
979	1040	21
980	1041	20
981	1042	19
982	1043	18
983	1044	16
984	1045	15
985	1045	14
986	1046	13
987	1047	12
988	1048	11
989	1049	10
990	1050	9
991	1051	8
992	1052	7
993	1052	6
994	1053	5
995	1055	4
996	1056	3
997	1057	2
998	1058	1
999	1058	0
